"","Time","indice","obs"
"1",250,"1",0.47
"2",500,"1",0.93
"3",750,"1",2.11
"4",1000,"1",2.72
"5",1250,"1",3.51
"6",1500,"1",4.34
"7",1750,"1",4.91
"8",2000,"1",5.48
"9",2250,"1",5.99
"10",2500,"1",6.72
"11",2750,"1",7.13
"12",3000,"1",8
"13",3250,"1",8.92
"14",3500,"1",9.49
"15",3750,"1",9.87
"16",4000,"1",10.94
"17",250,"2",0.71
"18",500,"2",1.22
"19",750,"2",1.9
"20",1000,"2",2.3
"21",1250,"2",2.87
"22",1500,"2",3.75
"23",1750,"2",4.42
"24",2000,"2",4.99
"25",2250,"2",5.51
"26",2500,"2",6.07
"27",2750,"2",6.64
"28",3000,"2",7.16
"29",3250,"2",7.78
"30",3500,"2",8.42
"31",3750,"2",8.91
"32",4000,"2",9.28
"33",250,"3",0.71
"34",500,"3",1.17
"35",750,"3",1.73
"36",1000,"3",1.99
"37",1250,"3",2.53
"38",1500,"3",2.97
"39",1750,"3",3.3
"40",2000,"3",3.94
"41",2250,"3",4.16
"42",2500,"3",4.45
"43",2750,"3",4.89
"44",3000,"3",5.27
"45",3250,"3",5.69
"46",3500,"3",6.02
"47",3750,"3",6.45
"48",4000,"3",6.88
"49",250,"4",0.36
"50",500,"4",0.62
"51",750,"4",1.36
"52",1000,"4",1.95
"53",1250,"4",2.3
"54",1500,"4",2.95
"55",1750,"4",3.39
"56",2000,"4",3.79
"57",2250,"4",4.11
"58",2500,"4",4.5
"59",2750,"4",4.72
"60",3000,"4",4.98
"61",3250,"4",5.28
"62",3500,"4",5.61
"63",3750,"4",5.95
"64",4000,"4",6.14
"65",250,"5",0.27
"66",500,"5",0.61
"67",750,"5",1.11
"68",1000,"5",1.77
"69",1250,"5",2.06
"70",1500,"5",2.58
"71",1750,"5",2.99
"72",2000,"5",3.38
"73",2250,"5",4.05
"74",2500,"5",4.63
"75",2750,"5",5.24
"76",3000,"5",5.62
"77",3250,"5",6.04
"78",3500,"5",6.32
"79",3750,"5",7.1
"80",4000,"5",7.59
"81",250,"6",0.36
"82",500,"6",1.39
"83",750,"6",1.95
"84",1000,"6",2.86
"85",1250,"6",3.46
"86",1500,"6",3.81
"87",1750,"6",4.53
"88",2000,"6",5.35
